Name,Eligibility,Eligible,Links_online_application,Contacts_offline_applications,Special_Categories,Scholarship_Fellowship,Level,State,Application_Period
The Greenhouse Technology-Art-Society Fellowship,Researchers technologists and artists,Researcher,https://aistic.gov.in/ASEAN/aistdfFellowship,,Open for all,Fellowship,Private Organization, ,
The Jijivisha Fellowship by Slam Out Loud,Above 18 years of age; at least 1 year of college education completed; experience with planning and facilitation; formal or informal experience with art form (poetry storytelling theatre or visual arts),UG,https://devinfo.in/the-jijivisha-fellowship-2023-24-slam-out-loud/,,Open for all,Fellowship,Private Organization, ,May
The Mina Swaminathan Media Fellowship,Consistent writing on the subjects of gender development environment and rural concerns,Others,https://www.mssrf.org/media-fellowship/,,Open for all,Fellowship,Private Organization, ,September
The Period Fellowship,At least 21 years of age; fluency in written and spoken Hindi; bachelor’s degree,Others,https://devinfo.in/the-period-fellowship-2024-26/,,Open for all,Fellowship,Private Organization, ,January
The Quest Fellowship,Graduate (bachelor’s degree),PG,https://www.questalliance.net/fellowship,,Open for all,Fellowship,Private Organization, ,February
The Red Door (TRD) Fellowship Programme,Must be a woman or identify as one; should be an Indian citizen; between the ages of 21-30 with working knowledge of English.,Work_Experience,https://www.thereddoor.co.in/young-women-leaders-fellowship/,,Open for all,Fellowship,Private Organization, ,August
The Safe Abortion For Everyone (SAFE) Fellowship,Applicants must be between 18-35 years of age can apply; young people from diverse marginalised backgrounds especially from Assam and Kerala are encouraged to apply!,Others,https://theypfoundation.org/careers/safe-fellowship/,,Open for all,Fellowship,Private Organization, ,July
The Samvidhaan Fellowship,The Fellows will be practising district-level lawyers with litigation experience and a demonstrated interest in legal awareness work either located in Karnataka or be ready to relocate there,Work_Experience,https://nyaaya.org/access-to-justice-network/samvidhaan-fellowship/,,Open for all,Fellowship,Private Organization, ,August
Transforming India Initiative,Indian citizens with a bachelor’s degree,PG,https://tii.alcindia.org/reimagine_farmer_enterprises/register.php,,Open for all,Fellowship,Private Organization, ,July
Transforming India Initiative-Reimagine Farmer Enterprises,Indian citizens with a bachelor’s degree,PG,https://tii.alcindia.org/reimagine_farmer_enterprises/register.php,,Open for all,Fellowship,Private Organization, ,June
UDAAN Fellowship,Above 21 years of age; minimum of one year of experience in the socio-political landscape,Work_Experience,https://iidl.org.in/fellowship/,,Open for all,Fellowship,Private Organization, ,August
Ummeed Inclusion Fellowship Program (UIFP),B.Ed/Masters in Special Education/Masters in Counselling (with minimum 2 years of teaching experience); or 2 years of Fellowship in the space of Education [Candidates with relevant volunteering experience in the space of Inclusive Education are also welcome to apply],PG Work_Experience,https://ummeed.org/course/ummeed-inclusion-fellowship-program-uifp/?id=4,,Open for all,Fellowship,Private Organization, ,March
Urban Fellows Programme,Recent graduates and young professionals; below 30 years of age,PG,https://urbanfellows.iihs.co.in/,,Open for all,Fellowship,Private Organization, ,April
Uttarakhand Chief Minister Young Fellow Policy,Proficiency in English/Hindi language; graduate with minimum one-year work experience,Work_Experience,https://cm.uk.gov.in/pages/view/486,,Open for all,Fellowship,Private Organization, ,June
Vision India Foundation Fellowship,Work experience of two or more years or relevant Masters/PhD degree,Work_Experience,https://indiavisionfoundation.org/join-us/,,Open for all,Fellowship,Private Organization, ,January
Water Aid media and photography Fellowship,For the photography fellowship: media and communication students/amateur photographers aged 18-24,Others,https://www.wateraid.org/in/photo-fellowship,,Open for all,Fellowship,Private Organization, ,
Water Seekers’ Fellowship,Graduate or Postgraduate degree in social sciences water management development studies environmental science sustainability and other relevant disciplines; a keen interest in communicating stories and research surrounding the urban water landscape in India; access to the internet and a computer to effectively work from home; must have prior experience of internet-based research.,Researcher,https://sprf.in/water-seekers/,,Open for all,Fellowship,Private Organization, ,August
Wipro Educational Fellowship Program,At least two years of experience working in the education sector and/or have had academic exposure in education; a long-term commitment to a particular geography preferably in locations currently underserved by education-focussed nonprofits; intent to work directly with children/teachers preferably in the government education system,Work_Experience,https://www.docdroid.net/F9Z9lQI/wipro-seeding-program-2020-pdf,,Open for all,Fellowship,Private Organization, ,October
Women in government fellowship,Women who have contested election at any level i.e college university RWA local govt MLA etc.  women who have been in nominated political party positions for at least 3 months women who have worked in civil-society/media/policy organisations for at least 12 months and are/were LAMP/Acumen/Gandhi/Teach for India Fellows and aspire to join politics. Applicants must be an Indian citizen,Work_Experience,https://www.femmefirst.org/wig-fellowship,,Open for all,Fellowship,Private Organization, ,November
Yes Foundation Media for Social Change Fellowship,18-25 years of age,Others,https://www.yesfoundation.in/what-we-do/past-programs/media-for-social-change-fellowship.html,,Open for all,Fellowship,Private Organization, ,
YLAC Counter Speech Fellowship,Students in grades 8-12 and aged 13-18 years,Others,https://theylacproject.com/the-artivist-fellowship/,,Open for all,Fellowship,Private Organization, ,September
Young India Fellowship (YIF),Maximum 28 years of age; an undergraduate/postgraduate degree,PG,https://www.ashoka.edu.in/academic-programme/young-india-fellowship/,,Open for all,Fellowship,Private Organization, ,April
Young Leaders in Tech Policy Fellowship,Young professionals with an engineering background and 2-5 years of work experience or a master’s degree,Work_Experience,https://www.iic.uchicago.edu/techpolicy,,Open for all,Fellowship,Private Organization, ,May 31st 2021
Young Professionals Programme for Legal Empowerment (YPPLE),Law graduates/legal professionals with 0-3 years’ work experience,Work_Experience,https://www.centreforsocialjustice.net/wp-content/uploads/2021/06/YPPLE-BROCHURE-1.pdf,,Open for all,Fellowship,Private Organization, ,20th July 2021
Arts for Good Fellowship,Minimum two years of professional/voluntary experience preferably in the education/social sector; prior experience working with a community through the arts demonstrating a strong interest in arts-based projects aimed at creating social impact; fluency in English; any age and nationality; ability to attend all components of the programme among others,Work_Experience,https://www.sif.org.sg/our-work/cultural-exchange/arts-for-good-fellowship,,Open for all,Fellowship,International Organisation, ,Always Open
Asia Foundation Development Fellows Program,Must have a demonstrable record of experience in one of governance and law economic development women’s empowerment environment or regional cooperation; under 40 years of age; conversant in English; citizens of Afghanistan Bangladesh Cambodia China India Indonesia Japan Korea Laos Malaysia Mongolia Myanmar Nepal Pakistan Philippines Singapore Sri Lanka Thailand Timor-Leste or Vietnam,Work_Experience,https://asiafoundation.org/what-we-do/asia-foundation-development-fellows/,,Open for all,Fellowship,International Organisation, ,Always Open
Atlantic Fellows for Social and Economic Equity,Graduate in any discipline; at least 5 years relevant experience; must meet LSE’s standard English Language Requirement,Work_Experience,https://afsee.atlanticfellows.lse.ac.uk/en-gb/apply,,Open for all,Fellowship,International Organisation, ,Autumn
Centre for Humanitarian Data (UNOCHA) — Data Fellows Programme 2020,Undergraduate degree with at least 5 years of relevant experience or a graduate degree with 3 years of relevant experience,Work_Experience,https://centre.humdata.org/data-fellows/?utm_medium=mailchimp&utm_content=datafellows,,Open for all,Fellowship,International Organisation, ,March
Charles Wallace India Trust Fellowship in Creative Writing,Indian citizens living in India 25-45 years of age; postgraduate degree and/or at least 5 years of experience,PG Work_Experience,https://www.britishcouncil.in/study-uk/scholarships/charles-wallace-india-trust-scholarships,,Open for all,Fellowship,International Organisation, ,September
Cordes Fellowship,High-impact innovative entrepreneurial for-profit and nonprofit executives with a demonstrated commitment to social justice and poverty alleviation,Others,https://ocimpact.com/oc-global/cordes-Fellowship/,,Open for all,Fellowship,International Organisation, ,January
Dalberg Design Fellowship,Work experience in social impact/design agencies an ability and willingness to travel and proficiency in written and spoken English (French Spanish Swahili Hindi are a plus),Work_Experience,https://www.dalbergdesign.com/jdf,,Open for all,Fellowship,International Organisation, ,Always Open
Digital Civil Society Lab Non-resident Fellowship,Above 18 years of age able to secure visa,Others,https://pacscenter.stanford.edu/research/digital-civil-society-lab/dcsl-non-resident-Fellowship/,,Open for all,Fellowship,International Organisation, ,September
Echoing Green Fellowship,Above 18 years of age; fluency in English,Others,https://echoinggreen.org/fellowship/,,Open for all,Fellowship,International Organisation, ,October
Fulbright-Kalam Climate Fellowship,Indian citizens; bachelor’s degree with at least 55 percent marks; must be registered for a PhD at an Indian institution/been awarded a PhD within the past four years; fluency in English,Ph.D/Doctorate,https://www.usief.org.in/Fulbright-Kalam-Climate-Fellowship.aspx,,Open for all,Fellowship,International Organisation, ,May
Fulbright-Nehru Fellowship,Indian citizens; bachelor’s degree with at least 55 percent marks; at least three years of professional work experience; fluency in English,Work_Experience,https://www.usief.org.in/Fulbright-Nehru-Fellowship.aspx,,Open for all,Fellowship,International Organisation, ,May
German Chancellor Fellowship,Individuals who have completed their first degree less than 12 years ago,PG,https://www.humboldt-foundation.de/en/apply/sponsorship-programmes/german-chancellor-fellowship,,Open for all,Fellowship,International Organisation, ,September
Global Challenges Fellowship Program,Indian resident citizens,PG Ph.D/Doctorate,https://www.globalchallengesfellowship.net/home/,,Open for all,Fellowship,International Organisation, ,November
Global Policy Diplomacy and Sustainability (GPODS) Fellowship Fall Cohort 2022,Applicants must be open to working in or studying sectors outside their comfort zone; must have basic knowledge of the English language; must commit to completing the 3-month programme from October-December,Work_Experience,https://www.gpods.org/apply-now-1,,Open for all,Fellowship,International Organisation, ,September
Henry Arnhold Fellowship,Impact-obsessed professionals pioneering effective ways to: Protect nature and ecosystems or slow down climate change or adapt to the new climate reality,Others,https://www.mulagofoundation.org/henry-fellows-program,,Open for all,Fellowship,International Organisation, ,
IDEX Fellowship,Any professional from across the globe who wants to deep dive into the social impact sector and make the transition to social enterprise practitioner,Others,https://www.idexaccelerator.com/,,Open for all,Fellowship,International Organisation, ,May
ILO’s Social Finance Programme,Applicants should have relevant expertise to contribute to activities related to insurance financial inclusion and/or public-private partnerships; be proactive and ready to document learning experiences during the fellowship; be ready to work in a developing country for the duration of the fellowship.,Work_Experience,https://www.ilo.org/empent/areas/social-finance/lang--en/index.htm,,Open for all,Fellowship,International Organisation, ,July
Impulse Model Press Lab Fellowship,Citizens of India/Bangladesh/Nepal/Myanmar; 2-3 years of journalism experience; skilled in media; willing to work in partner countries.,Work_Experience,https://impulsengonetwork.org/presslab/one-year-fellowship/,,Open for all,Fellowship,International Organisation, ,July
Kiva Fellowship,At least 21 years of age; fluency in English; must be able to legally travel to the US for a training programme,Others,https://www.careers.kiva.org/Fellowship,,Open for all,Fellowship,International Organisation, ,Always Open
LGT Impact Fellowship,Undergraduate degree (MBA or other advanced degree in a relevant field preferred); minimum of two years of full-time work experience after university (internships during studies excluded); proficiency in English both written and spoken (additional languages from relevant regions helpful),Work_Experience,https://talent.lgtvp.com/about-the-fellowship.html,,Open for all,Fellowship,International Organisation, ,April/May
LOEB Fellowship,Urban designers public artists developers journalists civic leaders architects landscape architects urban planners policymakers and community development leaders with a minimum 5-10 years of experience in their field,Work_Experience,https://loebfellowship.gsd.harvard.edu/apply-nominate/,,Open for all,Fellowship,International Organisation, ,Always Open
Moving Worlds Career Acceleration Programme,Open to professionals from any industry sector and region of the world with at least three years of professional experience,Work_Experience,https://movingworlds.org/institute/what-you-will-do,,Open for all,Fellowship,International Organisation, ,January
New Voices Fellowship,Development experts from Africa Asia and Latin America; open by nomination only,Others,https://newvoicesfellows.aspeninstitute.org/Nominations/,,Open for all,Fellowship,International Organisation, ,October
Rotary Peace Fellowship,English proficiency; bachelor’s degree; demonstrable commitment to cross-cultural understanding and peace; at least five years of relevant work experience,Work_Experience,https://www.rotary.org/en/our-programs/peace-Fellowship?cid=soc_peace19_20190202_soc_fb_as_pd_fellowvid_en,,Open for all,Fellowship,International Organisation, ,February
TechnoServe Fellows Program,Minimum two years full-time work experience; proven strategic thinking problem solving communication and analytical capabilities; language requirements based on location of placement,Work_Experience,https://www.technoserve.org/work-with-us/fellows-program/,,Open for all,Fellowship,International Organisation, ,Always Open
The Global Governance Futures—Robert Bosch Foundation Multilateral Dialogues (GGF) Program,Brazilian Chinese French German Indian Indonesian Japanese South African or US citizens; bachelor’s degree,PG,https://www.ggfutures.net/about,,Open for all,Fellowship,International Organisation, ,October
The Social Science in Humanitarian Action Platform (SSHAP),Be a national of and currently living in a lower- or middle-income country; be either a social scientist with research experience or a public health or humanitarian response practitioner in a position to influence the design and/or rollout of humanitarian activities.,Researcher,https://www.socialscienceinaction.org/blogs-and-news/apply-now-for-the-next-sshap-fellowship/,,Open for all,Fellowship,International Organisation, ,July
Women Deliver Young Leaders Program,Between 15-28 years old; English proficiency; regular access to email and the internet; access to a bank account,Others,https://womendeliver.org/case-studies/applying-local-knowledge-crop-production/,,Open for all,Fellowship,International Organisation, ,March
Yale Maurice R. Greenberg World Fellows Program,Applicants must be at least five and not more than twenty years into their careers; fluency in English; non-US citizens,Others,https://worldfellows.yale.edu/the-program/program-details/,,Open for all,Fellowship,International Organisation, ,
Yunus & Youth Fellowship Programme,Fluency in English; 18 to 30 years of age with a few exceptions made for outstanding applicants over the age of 30,Others,https://yunusandyouth.com/fellowship-program/,,Open for all,Fellowship,International Organisation, ,June
AP SOCIAL EMPOWERMENT FELLOWSHIP,Masters with minimum 2 years of work experience. • At least 60% marks in both Under Graduation and Post-Graduation. • An indicative list of specialisations benchmarked to appropriate verticals include Education Economics Public Policy Public Administration Management SocialWork Public Health Computer Science/Computer Applications Nutrition and Psychology etc. from highly reputed national and international institutions,Work_Experience,https://jnanabhumi.ap.gov.in/FellowshipRegistration2.edu,,Open for all,Fellowship,State,Andhra Pradesh,April 29th 2023
AP Tribal Empowerment Fellowship 2023,The seeker’s age should not be more than 35 years. A seeker should be a permanent resident of Andhra Pradesh state Seekers must have bachelor’s degree/Master’s Degree in any discipline with at least 60% marks from recognized university/ college Seekers must have at least 2 years of experience in implementing & monitoring Government Schemes / Programs,,https://aptwgurukulam.ap.gov.in/,,ST,Fellowship,State,Andhra Pradesh,May
AP Educational Empowerment Fellowship,Applicant should be a master’s degree holder with at least 60% marks Applicant must have at least one year of experience The age of the applicant should not be less than 20 years or more than thirty years as of the date of notification for the recruitment Applicant must hold a master’s degree from premier institutions such as IITs IIMs etc.,Work_Experience,https://apreis.apcfss.in/,,Open for all,Fellowship,State,Andhra Pradesh,
Arunachal Pradesh Chief Minister’s Fellowship Scheme,Fellowship programme is applicable in Arunachal Pradesh state onlyFellowship programme is for students who have passed master degree in any discipline with minimum three years of work experienceCandidates from IITs/IIMs and ISB will be preferredCandidates should have passed their graduation and post graduation degree with minimum 60% marksCandidates must have a knowledge about project management skills implementing and monitoring experience in government schemeCandidates must have knowledge of word excel and power point,Work_Experience,,Go to the official state government website http://www.arunachalplan.gov.in/Click on the link “Click here to download guidelines for APCM Fellowship Scheme and Application Form”Download the application for fellowshipFill the application form with all required details and email it to directorstateplan2019@gmail.com,Open for all,Fellowship,State,Arunachal Pradesh,July
i-Saksham Fellowship Program,Applicants must be between 18 and 35 years of age as on the date of application.Applicants must have a bachelor's degree in any discipline from a recognized university or institution Applicants must have at least one year of work experience in the ICT sector.Applicants must submit a detailed project proposal that outlines the objectives methodology and expected outcomes of their proposed project.Applicants must demonstrate financial need and explain how the fellowship will help them achieve their goals.,Work_Experience,https://www.i-saksham.org/,,Specially-abled student,Fellowship,State,Bihar,5th January 2024
Karuna Fellowship in Guwahati Assam,Age: Minimum 18+ years.Education: ANM GNM Bsc Nursing B Pharm Diploma Other Paramedics (Any Medical/ Paramedical).,Others,,Contact: +91-8011772104 (9 AM to 5 PM if you need any help in filling the form) or email at snehakshmi.barma@piramalswasthya.org,Open for all,Fellowship,State,Assam,Always Open
Biodiversity Research Associate Program (BRAP),Have a Master's degree in a related subject such as Botany Zoology Ecology Wildlife Biology Forestry Environmental Science or Conservation ScienceHave experience working with communities in Assam in related fieldsHave knowledge of plant taxonomy,PG Work_Experience,https://asbb.assam.gov.in/frontimpotentdata/biodiversity-research-associate-program-brap,,Open for all,Fellowship,State,Assam,Always Open
Assam Govt Announces CM Fellowship Program for MBA Graduates,MBA degree from a recognized university or institute. Excellent academic record. Strong analytical and problem-solving skills. Passion for public service and rural development. Ability to work independently and as part of a team.,Work_Experience,https://assam.gov.in/,,open to all eligible MBA graduates,Fellowship,State,Assam,Always Open
FELLOWSHIP PROGRAM(IAP),Any student of Indian nationality who has completed the M.D / D.N.B course in Paediatrics from a Medical Council of India or State Medical Council recognized University in India,PG,https://gmch.gov.in/fellowship-programiap-2020,,Open for M.D/D.N.B Medical Students,Fellowship,State,Chandigarh,Always Open
Punjab Good Governance Fellowship Programme,a post-graduate with at least one year of full-time work experience or a graduate with at least three years of full-time work experienceproficient in Englishbetween 23 and 30 years oldan Indian citizen,PG Work_Experience,https://punjab.gov.in/wp-content/uploads/2023/08/Detailed-advertisement-for-Punjab-Good-Governance-Fellowship-Programme.pdf,,Open for all,Fellowship,State,Chandigarh,Always Open
UT Chandigarh Institute Fellowship Scheme for PHD,a post-graduate with at least one year of full-time work experience or a graduate with at least three years of full-time work experienceproficient in Englishbetween 23 and 30 years oldan Indian citizen,Work_Experience,https://serviceonline.gov.in/dbt/viewServiceApplicationForm.do?serviceId=14750003&tempId=5148&templStatus=243&state=4&backButtonUrl=,,Open for all,Fellowship,State,Chandigarh,Always Open
The Chhattisgarh Chief Minister's Good Governance Fellowship,Family income must be less than INR 200000 per year SC/ST families must have an income of less than INR 250000 per year Students must be in classes XI and XII,10+2/Intermediate,http://www.cmgga.in/#:~:text=Running%20since%202016%2C%20the%20programmeservice%20delivery%20in%20the%20state.,,Open for all,Fellowship,State,Chatttisgarh,May
The Fellows Goa,a post-graduate with at least one year of full-time work experience or a graduate with at least three years of full-time work experienceproficient in Englishbetween 23 and 30 years oldan Indian citizen,Work_Experience,https://docs.google.com/forms/d/1f-rV1nf0kNU_88VjVGL7kzZoyViH65hQIXzBRP-4F0w/viewform?edit_requested=true,,Open for all,Fellowship,State,GOA,Always Open
Fellowship Scheme Gujarat 2023-24,This scholarship scheme is available from students of class 11th to postgraduate level. Candidates belonging to SC ST SEBC and other categories can apply for this scholarship. In order to apply for this scheme students must have at least 70% marks in class 10th. The family income of the students must not exceed INR 2.5 lacs.,10+2/Intermediate UG PG,https://www.digitalgujarat.gov.in/CitizenApp/Citizen/CitizenWEBUI/Registration.aspx,,Open for all,Fellowship,State,Gujarat,January
Sardar Patel Good Governance CM Fellowship Program,Successful completion of 10th and 12th grade with a minimum of 60% Bachelor’s Degree with a minimum of 60% Preference will be given to graduates from premier national institutes Applicant's age should not exceed 35 years as of the last date of application Minimum of 3 years of experience in the relevant subject,10/High_School 10+2/Intermediate,https://gujaratindia.gov.in/media/news.htm?NewsID=aqkTo3Ue/GgtE88YwNfwvw==,,open for all,Fellowship,State,Gujarat,January
Digital Gujarat Fellowship Scheme 2023 For M.Phil And Ph.D. Students,The Eligibility Of Getting A Fellowship Or The Gujarat Scholarship Totally Depends On The Universities. But The Minimum Qualification For The M.Phil And Ph.D. Students Is A Masters Degree. The Students Must Have At Least 55% Marks In Post-Graduation. And The Most Compulsory Part Is The Student Must Have Enrolled In M.Phil And Ph.D. Course. Because Without Registration For M.Phil And Ph.D. By Qualifying Exam Such As UGC NET JRF Etc. The Students Must Belong To SC Category To Get A Fellowship. Candidate Should Be Pursuing M.Phil And Ph.D. Degree Program. A Student Must Have A Family Annual Income Of Fewer Than 2 Lacs From All The Sources.,PG Ph.D/Doctorate,https://www.digitalgujarat.gov.in,,Open for all,Fellowship,State,Gujarat,Always Open
HSCST Fellowship scheme for doing Ph.D.,HSCST Fellowship are awarded to those holding M.Sc. or equivalent degree with minimum 55% marks and should have qualified JRF-NET (CSIR/UGC) & LS-NET in Joint CSIR-UGC Test for Junior Research Fellowship (JRF) and eligibility for lectureship (NET).,Ph.D/Doctorate,https://sstp.dst.gov.in/ss?pgId=2,,Open for all,Fellowship,State,Haryana,January
HSCST Fellowship 2023,Students who have passed the JRF-NET (CSIR/UGC) and LS NET,PG,https://saralharyana.gov.in/,,Open for all,Fellowship,State,Haryana,January
HSCST FELLOWSHIP PROGRAMME,M.Sc. or equivalent degree in any of the subjects in above broad subject areas with minimum 55% marks; and should have qualified JRF-NET (CSIR/UGC) & LS-NET in Joint CSIR-UGC Test for Junior Research Fellowship (JRF) and eligibility for lectureship (NET) held on 29.01.2022 15.02.2022 16.02.2022 & 17.02.2022.,Researcher,https://saralharyana.gov.in/,,Open for all,Fellowship,State,Haryana,Always Open
The Urban Learning Internship Program (TULIP),Applicable to Indian National Only. All the students pursuing Higher education (UG/PG/MPhil/PhD) Are eligible subject to no objection from their respective universities and fulfilling the terms and conditions set by respective employer. Degree holders (UG/PG/Diploma/MPhil/PhD) are also eligible to apply. However not more than 36 months should have passed from the date of declaration of final year results to the date from which the internship is sought. Internship is open to students from recognized Institutions and Universities. Students with a placement in hand are not eligible.,UG PG Ph.D/Doctorate,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1885831,,Open for all,Fellowship,State,Himachal Pradesh,Always Open
ICTS – S.N. Bhatt Memorial Excellence Fellowship Program,1. Undergraduate students in the third fourth or fifth year of the program or older are eligible. 2. They must be students of science mathematics or engineering. 3. Exceptional undergraduates in their second year Master’s Degree students and those who have completed their undergraduate programme can also apply for this fellowship.,UG PG,https://www.icts.res.in/outreach/mci,,Open for all,Fellowship,Central, ,Between December and January
Fulbright-Nehru Doctoral Research Fellowship,1. Candidates who are registered for their PhD at an Indian institution are eligible. 2. They must have done adequate research in the relevant field especially in the identification of resources in India and the US. 3. They must upload a published/presented paper or extracts from the Master’s/MPhil thesis in the online application form.,Ph.D/Doctorate,https://www.usief.org.in/,,Open for all,Fellowship,Central, ,Between March and July
Ashoka University Young India Fellowship,1. Candidates having a recognized undergraduate or postgraduate degree in any discipline are eligible. 2. They must be below 28 years of age. 3. They must have an above-average academic record combined with extra-curricular engagement. 4. They must have strong written and verbal communication skills. ,PG,https://www.ashoka.edu.in/,,Open for all,Fellowship,Central, ,Between March and April
Google PhD Fellowship India Program,1. Candidates who are enrolled in a PhD programme at an Indian university can apply. 2. They must have obtained an undergraduate/postgraduate degree from an Indian university. 3. They must be professionals who are employed with registered organizations in India.,Ph.D/Doctorate,https://research.google/outreach/phd-fellowship/,,Open for all,Fellowship,Central, ,Between May and June
HSCST Fellowship Programme ,1. Candidates who hold an MSc or equivalent degree in any of the science subjects like Life Science Physical Sciences Chemical Sciences Mathematical Science and Engineering Sciences with a minimum of 55% marks are eligible. 2. They must be below 28 years of age. 3. They must have qualified JRF-NET (CSIR/UGC) and LS-NET in joint CSIR-UGC Tests for JRF and LS (NET).,PG,https://saralharyana.gov.in/,,Open for all,Fellowship,Central, ,Between May and June
Tata Institute of Social Science (TISS) Post-Doctoral Research Fellowship,1. The candidates who hold a PhD degree or are waiting for a PhD degree award are eligible. 2. They must have adequate knowledge in the field of forest rights and governance. ,Researcher,,Via email to the concerned person Email: shaban@tiss.edu,Open for all,Fellowship,Central, ,Between April and May
Prime Minister’s Research Fellowship (PMRF),1. The candidates who apply for a PhD programme at one of the PMRF granting institutions either through a direct entry channel or lateral entry channel are eligible. 2. They must fulfil the respective academic requirements for both direct and lateral entry channels.  ,Ph.D/Doctorate,,Recommendations should be made through the respective institutions where the candidate has applied for a PhD programme,Open for all,Fellowship,Central, ,Always Open
Jharkhand CM Fellowship,Students must be coming from the Jharkhand state.Students must belong to a minority community.Students must be willing to do Ph.D. M.Phil and post-doctoral courses and would be able to enroll themselves in 100 foreign universitiesStudents must be studying in a foreign university.,PG Ph.D/Doctorate,https://scholarshiparena.in/jharkhand-cm-fellowship/,,Open for all,Fellowship,State,Jharkhand,
LGSD Fellowship,Graduates from NITs/IITs IIMs CFTIs and other academic institutions of repute with one year of experience in the field as on the date of application. A minimum of 60% in the final aggregate of their degree/diploma programmes. Work-experience in development and infrastructure sectors with reasonable exposure to policy design and implementation is preferred. Candidates passing out of higher education institutes of the J&K U.T. will be preferred. Female candidates are highly encouraged to apply.,UG Work_Experience,https://iitjammu.ac.in/LGFellowship/,,Open for all,Fellowship,State,Jammu and Kashmir,January to April
Chief Minister Fellowship Yojna,Student must have domicile in Jharkhand Parents who are not income tax payee Student must not be availing any other scholarship in the current financial year,Work_Experience,https://www.jharkhand.gov.in/PDepartment/ViewDoc?id=D013DO009SD002703022023113651994,,Open for all,Fellowship,State,Jharkhand,Always Open
Karuna Fellowship,Be between the ages of 19 and 40 Have a family income of less than 3 lakhs per year Have a minimum 12th pass education,UG PG,https://docs.google.com/forms/d/e/1FAIpQLSd5SAAVDsM0WPy_yMIVoLUWSMZSZwNBmGJqizzvhGlQuD8sdQ/viewform,,Open for all,Fellowship,State,Jharkhand,November
DST PhD Fellowship,Graduate students (B.E./B. Tech. or equivalent) Master's degree in natural science medicine engineering or social science with a background of STI policy research within the last two years.,Ph.D/Doctorate,https://ksteps.karnataka.gov.in/info-2/DST+PhD+Fellowship/en,,Open for all,Fellowship,State,Karnataka,September
The/Nudge Indian Administrative Fellowship,CXO/VP/GM at large-scale organisations with rich experience (minimum 15 years) in leading transformational initiatives anchored in tech-first projects High achiever in any sector as evident in the career journey. Preferred sectors: consulting technology corporate leaders entrepreneurs Willingness to relocate to Bangalore and travel at short notice as required during the Fellowship Fluency in regional language will be a distinct advantage.,Work_Experience,https://forms.zohopublic.com/thenudgefoundation2/form/EOIforTheNudgeIAF/formperma/CdbFNUp9oqoatgP8M1pP3aRGtSfVqxh0gIi9Fin3DPU,,Open for all,Fellowship,State,Karnataka,Always Open
M Phil and Ph D Fellowship,candidates must have a master's degree in Science Arts or Engineering. They must also have scored at least 55% in their chosen subject at the post-graduate level,PG Ph.D/Doctorate,https://sevasindhu.karnataka.gov.in/sevasindhu/English,,Minority communities,Fellowship,State,Karnataka,November
The Samvidhaan Fellowship,Is a highly skilled lawyer working at the grassroots who is fluent in Kannada. Has a minimum of three years of litigation experience. Has subject area expertise in labor rights gender rights or rights of marginalized communities?. Has an understanding of social protection schemes and entitlements. Has worked on grievance redressal and understands the process. Has demonstrated interest in legal awareness work in the past. Is willing to build community skills on identified issues. Has been nominated by a grassroots organization,Work_Experience,https://nyaaya.org/access-to-justice-network/samvidhaan-fellowship/,,Open for all,Fellowship,State,Karnataka,September
KSCSTE RESEARCH FELLOWSHIP,Candidates who have qualified the post-graduate degree shall have three consecutive chances to apply for the Fellowship programme. Thus a candidate who has passed the examination in the current year can apply in this year the next year and year after next. The candidates (General and OBC candidates) should have minimum 70% marks or equivalent CGPA in their PG examination and 65% for SC/ST and differently-abled candidates. Only candidates who have their qualifying degree (PG) from any of the Universities in Kerala are eligible to apply. Upper age limit: Maximum 35 years (Should not exceed 35 years as on the 1st of the month of advertisement published in the website) for all applicants.,PG Ph.D/Doctorate,https://kscste.kerala.gov.in/kscste-research-fellowship/,,Open for all,Fellowship,State,Kerala,Always Open
KCHR PhD Fellowship,The fellowship grant is open to full time research scholars enrolled in a PhDprogramme in any Indian University competent to award degrees as specified by theUGC. Scholars pursuing an integrated MPhil-PhD programs should have completedthe course requirements for their MPhil (submission of dissertation/ viva-voce as thecase may be) at the time of application. Those who are receiving financial support (inthe form of salary or other Fellowship) from any other source will not be eligible forthis fellowship,PG Ph.D/Doctorate,https://kchr.ac.in/archive/257/KCHR-Fellowship-,,Open for all,Fellowship,State,Kerala,January
Fellowship to Revise PhD Thesis (towards monograph/articles),Candidates should submit documentary proof of recommendation of award of PhD or original PhD certificate. Thrust area will be Kerala Studies. In addition candidates whose work has the potential to significantly contribute to social sciences/humanities may be considered according to the selection committee’s discretion,Ph.D/Doctorate,https://kchr.ac.in/archive/257/KCHR-Fellowship-,,Open for all,Fellowship,State,Kerala,January
Thematic Post-Doctoral Fellowship,The candidates should have completed their PhD in the last 5 years. Candidates should submit documentary proof of recommendation of award of PhD or original PhD certificate. Thrust area will be Kerala Studies. In addition candidates whose work has the potential to significantly contribute to social sciences/humanities may be considered according to the selection committee’s discretion. At the time of application the candidates should not hold a permanent position at any (teaching/research/ government/ non-governmental) institution. Those candidates already holding a post-doctoral position/ fellowship are ineligible to apply for this fellowship.,Ph.D/Doctorate,https://kchr.ac.in/archive/257/KCHR-Fellowship-,,Open for all,Fellowship,State,Kerala,January
