Name,Eligibility,Eligible,Links_online_application,Contacts_offline_applications,Special_Categories,Scholarship_Fellowship,Level,State,Application_Period
Savitribai Phule Scholarship,Girl students belonging to backward classes must be studying in Classes 8 to 10,Junior 10/High_School,,Through school,Women,Scholarship,Private Organisation, ,Always Open
BNSTS Scholarship – Bigyani Kanya Medha Britti,Girl students who have passed class 12 or equivalent exam in the current academic year and are studying in undergraduate programmes like B.Sc.(Hons) Engineering Medicine (1st year) applicant’s institution must be registered in West Bengal,Engineering Medical UG,https://jbnsts.ac.in/bkmbfindbyname.php,,Women,Scholarship,Private Organisation, ,June/July
Swami Dayanand School Scholarship for Delhi/NCR – Open for students from Delhi/NCR region who are studying in Classes 9 to 12 (CBSE Board).,"This scholarship is only for students of Delhi / NCRCandidates studying in government and private schools recognized by CBSE Board are eligible to apply for a scholarship program.The student has passed the previous final examination with at least 50% marks.The income of student’s families should not be more than Rs. Two Lacs (2,00,000) from all sources.30% of scholarships are reserved for the girl students which is transferable to male students in case of non-availability of female students",Junior 10/High_School 10+2/Intermediate,https://www.swamidayanand.org/scholarship-india#:~:text=SDEF%20SCHOLARSHIP%2DINDIApar%20with%20the%20national%20scholarship).,,Open for all,Scholarship,Private Organisation, ,
ONGC Foundation Scholarship Scheme for OBC Category Students,The scholarship is open to both male/female students who are enrolled in full-time or regular courses. Applicant must have secured 60% or more marks in 10+2 class or graduation.,10+2/Intermediate,https://www.ongcscholar.org/,,OBC,Scholarship,Private Organisation, ,
ONGC Foundation Scholarship to Meritorious General Category Students,The scholarship is open to both male/female students who are enrolled in full-time or regular courses. Applicant must have secured 60% or more marks in 10+2 class or graduation.,Engineering Medical PG,https://www.ongcscholar.org/,,General,Scholarship,Private Organisation, ,
ONGC Foundation Scholarship to Meritorious SC/ST Students,The scholarship is open to both male/female students who are enrolled in full-time or regular courses. Applicant must have secured 60% or more marks in 10+2 class or graduation. In the case of SC/ST students the annual family income should be equal to or less than Rs 4.5 lakhs.,Engineering Medical PG,https://www.ongcscholar.org/,,ST SC,Scholarship,Private Organisation, ,
ONGC Foundation Fellowship for Fellows,Candidate must -be an Indian citizen Between 22 to 27 years of age by January 1 st 2020 Postgraduate qualification in any field with a must-experience of Volunteering/ Internship with NGOs.Proficient in computer skill and office tools emails and understanding of social media usage. Good communication in English Hindi and Local languages of operational areas may apply for this fellowship Selected fellows will be provided with fellowship stipend and project expenses amount of INR 25000/- per month. Taxes and statutory deductions will apply. Be ready to be placed in any part of the country and in any thematic area,Ph.D/Doctorate,https://www.ongcscholar.org/,,Open for all,Fellowship,Private Organisation, ,
ONGC Foundation Fellowship for Coordinator,Candidate must -be an Indian citizen Between 28 to 35 years of age by January 1 st 2020 Postgraduate qualification in any field with a must-experience of Volunteering/ Internship with NGOs.Work experience of 3 years and above will be considered proficient in computer skill and office tools emails and social media knowledge. Exhibiting proven fluency in English and Hindi may apply for this fellowship Selected fellows will be provided with fellowship stipend and project expenses amount of INR 50000/- per month. Taxes and statutory deductions will apply. Be ready to be placed in any part of the country and in any thematic area,Others,https://www.ongcscholar.org/,,Open for all,Fellowship,Private Organisation, ,
SOF National Science Olympiad (NSO),To be eligible an applicant must be studying in Class 1 to 10+2,Primary Junior 10/High_School 10+2/Intermediate,https://www.getmyuni.com/olympiad/sof-olympiad-scholarships,,Open for all,Scholarship,Private Organisation, ,
SOF International Commerce Olympiad (ICO),"To be eligible, an applicant must - be a student of Class 11 or 12",10+2/Intermediate,https://www.getmyuni.com/olympiad/sof-olympiad-scholarships,,Open for all,Scholarship,Private Organisation, ,
SOF International Mathematics Olympiad (IMO),"To be eligible, an applicant must - be a student of Class 11 or 12",10+2/Intermediate,https://www.getmyuni.com/olympiad/sof-olympiad-scholarships,,Open for all,Scholarship,Private Organisation, ,
SOF International English Olympiad (IEO),"To be eligible, an applicant must - be a student of Class 11 or 12",10+2/Intermediate,https://www.getmyuni.com/olympiad/sof-olympiad-scholarships,,Open for all,Scholarship,Private Organisation, ,
SOF National Cyber Olympiad (NCO),"To be eligible, an applicant must - be student of Class 1 to 10",Junior Primary 10/High_School,https://www.getmyuni.com/olympiad/sof-olympiad-scholarships,,Open for all,Scholarship,Private Organisation, ,
SOF- International General Knowledge Olympiad (IGKO),"To be eligible, an applicant must - be student of Class 1 to 10",Junior Primary 10/High_School,https://www.getmyuni.com/olympiad/sof-olympiad-scholarships,,Open for all,Scholarship,Private Organisation, ,
Jawaharlal Nehru Memorial Fund,To be eligible an applicant must•	be below 35 years of age as of 1st October of the year of selection•	be a full-time Ph.D. scholar•	be already registered/admitted to a Ph.D. degree at a recognized university/institution in India•	hold a first-class postgraduate degree with a minimum of 60% marks in aggregate at both graduate and postgraduate level,Ph.D/Doctorate,https://www.jnmf.in/,,,Scholarship,Private Organisation, ,31st August
Azim Premji Foundation,To be eligible:•	The student should come from economically and socially disadvantaged backgrounds•	Academic Qualification: The student must have completed their higher secondary education with a minimum of 60% marks or an equivalent grade point average•	The student should have a valid score on an entrance examination such as the Common Entrance Test (CET) or the Joint Entrance Examination (JEE)•	The student should demonstrate a willingness to contribute to the university community through extracurricular activities and community service,Engineering,https://www.azimpremjifoundation.org/,,,Scholarship,Private Organisation, ,
Nilam Patel Bahushrut Foundation- For SSC Students Scholarship,Students must belong to the SC or ST community.They must be pursuing SSC (Standard 10) education in a recognized school in India.Students must have scored at least 60% marks in their previous examination.They must have a valid caste certificate issued by the competent authority.Students must be from families with an annual income of less than Rs. 1 lakh.,10/High_School,https://www.bahushrutfoundation.org/,,ST SC,Scholarship,Private Organisation, ,
Nilam Patel Bahushrut Foundation- For HSC and Above Students Scholarship,To be eligible for this scholarship an applicant must:be hearing impairedbe a domicile of Gujarat/Maharashtrabe studying in a college or institute in Gujarat/Maharashtrahave passed HSC/graduation/postgraduation examination in June 2023,UG PG,https://www.bahushrutfoundation.org/,,ST SC,Scholarship,Private Organisation, ,
Nilam Patel Bahushrut Foundation- To Study Abroad Scholarship,To be eligible for this scholarship an applicant must:be hearing impairedbe a domicile of either Gujarat/Maharashtrabe pursuing a bachelor's or master's program in any reputed college or university abroad,UG PG,https://www.bahushrutfoundation.org/,,ST SC,Scholarship,Private Organisation, ,
Assam Foundation,Students seeking to or already enrolled in a bachelor’s degree course in any discipline are eligible; no scholarship is available at this stage for pursuing diploma/certificate level courses.The applicant should have passed his/her Higher Secondary/Pre-University/CBSE/ISC or equivalent board qualifying examination.Students of families whose per-head family income (i.e. total family income/total family members) is at or below Rs. 50000 per year are eligible for the scholarship. Family income refers to the income after deductions for taxes or other purposes. Only direct family members will count towards the total family members.A potential awardee should be a permanent resident of the state of Assam verified through appropriate documentation.,UG,https://new.assamfoundation.net/index.php/11-akadamics/11-akadamics-about-the-scholarship,,Open for all,Scholarship,Private Organisation, ,30th April 2023
Fair and Lovely Career Foundation,To be eligible:•	An applicant must be a girl student•	The age of the girl student should be between 15 to 30 years.•	She must be pursuing graduation or post-graduation courses from a recognized University.•	The candidate must have passed the 12th class with at least 60% off marks in any stream from the recognized board•	The annual family income should not exceed more than 6 lakhs.,UG PG,https://www.glowandlovelycareers.in/en/scholarship-for-women,,Women,Scholarship,Private Organisation, ,
G P Birla Education Foundation,Students who have passed the 12th class with 85% percent marks or more and whose annually family income below Rs 3 lakh are eligible.,Engineering Medical UG,https://gpbirlaedufoundation.com/,,Open for all,Scholarship,Private Organisation, ,
Pt. Vasant Thakar Memorial Fellowship,The Fellowship is open to Indian Nationals from any genre of Indian Classical Music (Vocal or Instrumental). Proposals that further the objectives of the program are welcome.The duration of the fellowship will be 10 months followed by a performance in Delhi. ,Others,http://www.sanskritifoundation.org/Pt-Vasant-Thakar-Memorial-Fellowship.htm,,Open for all,Fellowship,Private Organisation, ,
Geddes Scholarship,The scholarship is only open to Indian Nationals in the age group of 20 to 30.The applicant must be a student of planning and architecture at a graduate/postgraduate/research level from a recognized university or institution and /or young practicing professionals. The applicants can be an individual or can be a collaborative work of a group of individuals.,UG PG Researcher,http://www.sanskritifoundation.org/Geddes-Fellowship.htm,,Open for all,Scholarship,Private Organisation, ,
